year,species,bud_burst,first_leaf,full_leaf,open_flowers,ripe_fruit,colored_leaves,leaves_dropped
1895,Gymnocladus dioicus,122,128,156,999,999,275,288
1895,Rhus typhina,122,127,145,176,237,275,284
1895,Acer saccharinum,110,122,129,95,142,275,289
1895,Acer saccharum,115,123,131,117,240,284,295
1895,Acer negundo,116,125,132,114,237,284,291
1895,Aesculus glabra,113,118,126,129,999,284,291
1895,Diospyros virginiana,122,130,144,163,999,284,291
1895,Fraxinus americana,119,125,133,123,999,275,281
1895,Fraxinus nigra,117,129,135,121,999,276,283
1896,Cornus florida,111,123,137,127,999,268,286
1896,Juglans nigra,117,129,139,135,279,268,276
1896,Carya ovata,116,122,131,133,269,271,286
1896,Carya glabra,119,124,131,133,269,268,288
1896,Populus tremuloides,106,141,149,103,124,280,296
1896,Populus deltoides,110,112,122,115,999,275,287
1896,Salix nigra,105,110,116,116,135,280,298
1896,Ostrya virginiana,111,119,124,121,999,268,282
1896,Quercus velutina,116,123,131,128,269,280,292
1896,Quercus alba,117,125,133,130,256,280,298
1896,Quercus macrocarpa,115,129,131,129,258,280,290
1896,Quercus bicolor,114,122,130,128,257,280,288
1896,Ulmus americana,110,115,120,105,131,280,292
1896,Maclura pomifera,113,125,137,999,999,293,310
1896,Sassafras albidum,111,118,127,117,999,270,275
1896,Hamamelis virginiana,999,999,999,999,999,999,999
1896,Platanus occidentalis,999,999,999,999,999,999,999
1896,Gymnocladus dioicus,116,123,131,133,999,281,294
1896,Rhus typhina,111,117,129,162,269,280,289
1896,Acer saccharinum,106,115,131,104,999,268,286
1896,Acer saccharum,108,116,123,111,238,280,294
1896,Acer negundo,111,115,122,112,243,282,292
1896,Aesculus glabra,105,113,119,123,999,268,274
1896,Diospyros virginiana,124,131,139,162,282,268,279
1896,Fraxinus americana,111,119,131,118,999,268,276
1896,Fraxinus nigra,118,121,131,120,999,268,276
1897,Cornus florida,118,129,145,146,999,301,319
1897,Juglans nigra,126,137,147,146,275,273,279
1897,Carya ovata,127,135,143,145,274,267,276
1897,Carya glabra,127,134,144,143,283,267,293
1897,Populus tremuloides,116,123,130,106,999,281,298
1897,Populus deltoides,120,127,134,119,163,291,314
1897,Salix nigra,112,119,127,134,156,275,293
1897,Ostrya virginiana,114,119,134,999,999,273,288
1897,Quercus velutina,127,133,145,147,283,279,291
1897,Quercus alba,127,132,143,146,278,278,291
1897,Quercus macrocarpa,128,134,148,146,275,275,285
1897,Quercus bicolor,128,134,145,145,281,274,285
1897,Ulmus americana,114,122,130,110,999,275,298
1897,Maclura pomifera,132,139,154,999,999,276,312
1897,Sassafras albidum,124,132,145,129,230,275,285
1897,Hamamelis virginiana,999,999,999,999,999,999,999
1897,Platanus occidentalis,134,145,151,999,999,265,275
1897,Gymnocladus dioicus,128,136,151,155,999,268,280
1897,Rhus typhina,124,129,145,999,999,265,274
1897,Acer saccharinum,113,119,130,80,153,266,281
1897,Acer saccharum,117,128,140,999,999,274,302
1897,Acer negundo,116,124,132,124,999,268,283
1897,Aesculus glabra,113,118,127,132,253,298,316
1897,Diospyros virginiana,137,145,161,999,999,268,285
1897,Fraxinus americana,125,134,142,132,242,267,275
1897,Fraxinus nigra,124,134,144,133,237,266,275
1898,Cornus florida,123,131,148,142,999,999,999
1898,Juglans nigra,126,136,150,152,999,999,999
1898,Carya ovata,131,139,147,148,999,999,999
1898,Carya glabra,131,140,147,145,999,999,999
1898,Populus tremuloides,108,114,129,85,999,999,999
1898,Populus deltoides,121,127,135,110,999,999,999
1898,Salix nigra,104,112,123,131,153,999,999
1898,Ostrya virginiana,123,128,136,129,999,999,999
1898,Quercus velutina,130,138,148,146,999,999,999
1898,Quercus alba,130,138,148,146,999,999,999
1898,Quercus macrocarpa,130,138,147,144,999,999,999
1898,Quercus bicolor,131,140,149,143,999,999,999
1898,Ulmus americana,118,126,136,87,999,999,999
1898,Maclura pomifera,126,137,147,999,999,999,999
1898,Sassafras albidum,117,128,140,110,999,999,999
1898,Hamamelis virginiana,999,999,999,999,999,999,999
1898,Platanus occidentalis,125,138,152,999,999,999,999
1898,Gymnocladus dioicus,126,136,149,157,999,999,999
1898,Rhus typhina,128,134,144,999,999,999,999
1898,Acer saccharinum,106,113,133,78,136,999,999
1898,Acer saccharum,107,123,134,118,999,999,999
1898,Acer negundo,107,120,135,122,999,999,999
1898,Aesculus glabra,107,117,128,134,999,999,999
1898,Diospyros virginiana,133,142,152,169,999,999,999
1898,Fraxinus americana,132,138,147,999,999,999,999
1898,Fraxinus nigra,131,138,146,999,999,999,999
1899,Cornus florida,117,124,137,126,999,999,999
1899,Juglans nigra,118,130,140,153,999,999,999
1899,Carya ovata,115,120,130,138,999,999,999
1899,Carya glabra,119,124,135,143,999,999,999
1899,Populus tremuloides,113,117,122,111,999,999,999
1899,Populus deltoides,117,122,129,115,146,999,999
1899,Salix nigra,112,999,128,121,142,999,999
1899,Ostrya virginiana,116,123,129,134,999,999,999
1899,Quercus velutina,117,125,134,140,999,999,999
1899,Quercus alba,118,126,136,141,999,999,999
1899,Quercus macrocarpa,117,123,131,128,999,999,999
1899,Quercus bicolor,116,123,132,128,999,999,999
1899,Ulmus americana,116,121,126,111,132,999,999
1899,Maclura pomifera,121,128,140,999,999,999,999
1899,Sassafras albidum,116,121,133,137,999,999,999
1899,Hamamelis virginiana,999,999,999,999,999,999,999
1899,Platanus occidentalis,999,999,999,999,999,999,999
1899,Gymnocladus dioicus,119,126,138,144,999,999,999
1899,Rhus typhina,117,123,133,999,999,999,999
1899,Acer saccharinum,114,120,125,111,132,999,999
1899,Acer saccharum,120,127,136,121,999,999,999
1899,Acer negundo,116,120,125,120,999,999,999
1899,Aesculus glabra,113,118,123,126,999,999,999
1899,Diospyros virginiana,121,128,138,999,999,999,999
1899,Fraxinus americana,120,126,138,122,999,999,999
1899,Fraxinus nigra,117,126,137,124,999,999,999
1900,Cornus florida,999,999,999,138,999,999,999
1900,Juglans nigra,999,999,999,999,999,999,999
1900,Carya ovata,999,999,999,144,999,999,999
1900,Carya glabra,999,999,999,999,999,999,999
1900,Populus tremuloides,999,999,999,106,999,999,999
1900,Populus deltoides,999,999,999,128,999,999,999
1900,Salix nigra,999,999,999,133,999,999,999
1900,Ostrya virginiana,999,999,999,999,999,999,999
1900,Quercus velutina,999,999,999,999,999,999,999
1900,Quercus alba,999,999,999,999,999,999,999
1900,Quercus macrocarpa,999,999,999,999,999,999,999
1900,Quercus bicolor,999,999,999,999,999,999,999
1900,Ulmus americana,999,999,999,107,999,999,999
1900,Maclura pomifera,999,999,999,999,999,999,999
1900,Sassafras albidum,999,999,999,133,999,999,999
1900,Hamamelis virginiana,999,999,999,999,999,999,999
1900,Platanus occidentalis,999,999,999,999,999,999,999
1900,Gymnocladus dioicus,999,999,999,999,999,999,999
1900,Rhus typhina,999,999,999,999,999,999,999
1900,Acer saccharinum,999,999,999,99,999,999,999
1900,Acer saccharum,999,999,999,120,999,999,999
1900,Acer negundo,999,999,128,128,999,999,999
1900,Aesculus glabra,999,999,999,128,999,999,999
1900,Diospyros virginiana,999,999,999,999,999,999,999
1900,Fraxinus americana,999,999,999,133,999,999,999
1900,Fraxinus nigra,999,999,999,128,999,999,999
1901,Cornus florida,999,999,999,143,999,999,999
1901,Juglans nigra,999,999,999,999,999,999,999
1901,Carya ovata,999,999,999,136,999,999,999
1901,Carya glabra,999,999,999,999,999,999,999
1901,Populus tremuloides,999,999,999,999,999,999,999
1901,Populus deltoides,999,999,999,999,999,999,999
1901,Salix nigra,999,999,999,132,999,999,999
1901,Ostrya virginiana,999,999,999,999,999,999,999
1901,Quercus velutina,999,999,999,999,999,999,999
1901,Quercus alba,999,999,999,999,999,999,999
1901,Quercus macrocarpa,999,999,999,999,999,999,999
1901,Quercus bicolor,999,999,999,999,999,999,999
1901,Ulmus americana,999,999,999,102,999,999,999
1901,Maclura pomifera,999,999,999,999,999,999,999
1901,Sassafras albidum,999,999,999,140,999,999,999
1901,Hamamelis virginiana,999,999,999,999,999,999,999
1901,Platanus occidentalis,999,999,999,999,999,999,999
1901,Gymnocladus dioicus,999,999,999,160,999,999,999
1901,Rhus typhina,999,999,999,999,999,999,999
1901,Acer saccharinum,999,999,999,98,999,999,999
1901,Acer saccharum,999,999,999,122,999,999,999
1901,Acer negundo,999,999,999,120,999,999,999
1901,Aesculus glabra,999,999,999,140,999,999,999
1901,Diospyros virginiana,999,999,999,999,999,999,999
1901,Fraxinus americana,999,999,999,132,999,999,999
1901,Fraxinus nigra,999,999,999,999,999,999,999
1902,Cornus florida,999,999,999,999,999,999,999
1902,Juglans nigra,999,999,999,999,999,999,999
1902,Carya ovata,999,999,999,999,999,999,999
1902,Carya glabra,999,999,999,999,999,999,999
1902,Populus tremuloides,999,999,999,999,999,999,999
1902,Populus deltoides,999,999,999,999,999,999,999
1902,Salix nigra,999,999,999,999,999,999,999
1902,Ostrya virginiana,999,999,999,999,999,999,999
1902,Quercus velutina,999,999,999,999,999,999,999
1902,Quercus alba,999,999,999,999,999,999,999
1902,Quercus macrocarpa,999,999,999,999,999,999,999
1902,Quercus bicolor,999,999,999,999,999,999,999
1902,Ulmus americana,999,999,999,999,999,999,999
1902,Maclura pomifera,999,999,999,999,999,999,999
1902,Sassafras albidum,999,999,999,999,999,999,999
1902,Hamamelis virginiana,999,999,999,999,999,999,999
1902,Platanus occidentalis,999,999,999,999,999,999,999
1902,Gymnocladus dioicus,999,999,999,999,999,999,999
1902,Rhus typhina,999,999,999,999,999,999,999
1902,Acer saccharinum,999,999,999,999,999,999,999
1902,Acer saccharum,999,999,999,999,999,999,999
1902,Acer negundo,999,999,999,999,999,999,999
1902,Aesculus glabra,999,999,999,137,999,999,999
1902,Diospyros virginiana,999,999,999,999,999,999,999
1902,Fraxinus americana,999,999,999,999,999,999,999
1902,Fraxinus nigra,999,999,999,999,999,999,999
1903,Cornus florida,999,999,999,143,999,999,999
1903,Juglans nigra,999,999,999,999,999,999,999
1903,Carya ovata,999,999,999,999,999,999,999
1903,Carya glabra,999,999,999,999,999,999,999
1903,Populus tremuloides,999,999,999,999,999,999,999
1903,Populus deltoides,999,999,999,999,999,999,999
1903,Salix nigra,999,999,999,999,999,999,999
1903,Ostrya virginiana,999,999,999,999,999,999,999
1903,Quercus velutina,999,999,999,999,999,999,999
1903,Quercus alba,999,999,999,999,999,999,999
1903,Quercus macrocarpa,999,999,999,999,999,999,999
1903,Quercus bicolor,999,999,999,999,999,999,999
1903,Ulmus americana,999,999,999,999,999,999,999
1903,Maclura pomifera,999,999,999,999,999,999,999
